FID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Leng,Shape__Length
1942,Centre Street,5686200,2,3,1,2011,BL,100.824806061,330.789384547206
1943,Centre Street,4737700,5,2,0,2011,SLM,54.6939524761,179.441742390536
1944,Centre Street,4737800,5,2,0,2011,SLM,39.6335235797,130.0309853011
1945,Walk Hill Street,5168400,5,2,0,2015,BL,54.370646166,178.381028280178
1946,Centre Street,5686300,2,3,1,2011,BL,270.095883535,886.139577904812
1947,Perkins Street,5150200,5,3,1,2008,BL,134.128175423,440.052188843588
1948,Western Avenue,5151700,5,2,0,2010,SBLBL,154.444063941,506.705233133054
1949,North Harvard Street,5638700,5,2,0,2009,BL,132.977023026,436.275449728221
1950,North Harvard Street,5860400,5,2,0,2009,BL,31.3308936475,102.791440215169
1951,Washington Street,5530900,3,2,1,2016,BFBL,0,130.353308041128
1952,Washington Street,5531000,3,2,1,2016,BFBL,0,59.762253019288
1953,Washington Street,5857700,3,2,0,2016,BFBL,0,203.716552688676
1954,American Legion Highway,5701000,5,2,1,2009,SLM,82.9417315342,272.117997538016
1955,Centre Street,6235400,2,3,1,2011,BL,6.33711389556,20.7910144916856
1956,South Street,5167100,5,2,0,2010,SLM,44.8103368785,147.015246897456
1957,South Street,4739200,5,2,0,2010,BL,91.4905319174,300.165186820007
1958,Centre Street,4706200,5,2,0,2010,SLM,22.5002216277,73.8194771454051
1959,Perkins Street,5849700,5,2,0,2010,SLM,62.5216350987,205.123064437311
1960,Perkins Street,4647700,5,2,0,2010,SLM,90.0260029717,295.360311418453
1961,Chestnut Street,5333300,5,3,1,2007,BL,26.1958190192,85.9441162141539
1962,Commonwealth Avenue,6275700,3,2,1,2019,SBL,107.706106583,353.365784681288
1963,Commonwealth Avenue,6305800,3,2,1,2019,SBL,22.8096246575,74.8345768633574
1964,Cambridge Street,6265100,3,2,1,2018,SBL,0,148.864439975572
1965,American Legion Highway,6291400,5,2,1,2009,SLM,47.6165380692,156.22192532729
1966,American Legion Highway,6222600,5,2,1,2020,SBL,560.578979289,1839.16620121673
1967,Walk Hill Street,4802100,5,2,0,2014,SLM,81.830455231,268.472085219153
1968,Washington Street,5705600,3,2,0,2018,SBLBL,166.957765145,547.76054537169
1969,Walk Hill Street,5690400,5,2,0,2014,SLM,149.769587936,491.369056398738
1970,Washington Street,4776200,3,2,0,2018,SBL,48.8430622722,160.24594681082
1971,South Street,5735900,5,2,0,2010,SLM,78.3386840568,257.016165923194
1972,American Legion Highway,5120400,5,2,1,2020,SBL,236.782296212,776.84325015474
1973,Beacon Street,5457700,3,2,0,2010,BL,186.310539057,611.25382686922
1974,Beacon Street,5113600,3,3,0,2019,BFBL,25.2212074883,82.7466609050372
1975,Arborway,5763600,0,3,1,2018,SBL,0,79.1780452444902
1976,Williams Street,5185800,0,2,0,2017,SLMTC,0,440.454826843208
1977,Washington Street,4647500,3,2,0,2016,SLM,43.6155019703,143.095192732777
1978,Centre Street,6288800,5,2,1,2010,SLM,36.1508956931,118.605063616677
1979,Perkins Street,5827800,5,2,1,2010,SLM,33.8763636707,111.14270316671
1980,Centre Street,4638600,5,2,0,2010,BLSL,56.4202634978,185.105481183544
1981,Brookline Avenue,4570700,2,2,0,2013,SLM,22.4941436841,73.7995364001525
1982,Huntington Avenue,5745500,3,2,0,2013,SLM,68.2092114724,223.783054639408
1983,Brookline Avenue,4566900,2,2,0,2013,BLSL,135.610215766,444.914516202191
1984,Brookline Avenue,5674900,2,2,0,2013,BLSL,69.2504880898,227.19930968738
1985,Longwood Avenue,4553900,5,2,0,2015,BLSL,105.923496149,347.51733695426
1986,Brookline Avenue,6298300,2,2,0,2013,SBL,66.9387480238,219.614875808832
1987,Longwood Avenue,5196900,5,2,0,2015,BLSL,56.5578311141,185.556817573278
1988,Commonwealth Avenue,5176600,3,2,1,2008,BL,42.3675434683,139.000848841512
1989,Park Drive,5655500,2,2,0,2015,BL,60.0081836895,196.876849328534
1990,Beacon Street,5612700,3,2,1,2018,BFBL,84.0120645102,275.629581649781
1991,River Street,5858201,5,2,0,2013,SLM,63.9415627574,209.78161047443
1992,River Street,5048800,5,2,0,2013,SLM,55.6837348334,182.689053363426
1993,Tremont Street,4588100,5,2,0,2015,SLM,61.8437566796,202.899058362563
1994,Longwood Avenue,5196800,5,2,0,2015,BLSL,36.762958907,120.613141068968
1995,Longwood Avenue,5745200,5,2,0,2015,BLSL,60.192565959,197.481776795778
1996,Longwood Avenue,4566700,5,2,0,2015,BLSL,28.9220754113,94.8885090909481
1997,Beacon Street,6235200,3,2,1,2020,SBL,59.8953874982,196.506806647276
1998,Beacon Street,6283200,3,2,1,2020,SBL,397.916374761,924.500216877483
1999,Blue Hill Avenue,6233500,2,2,1,2010,SLM,137.57019118,451.344868907971
2000,Blue Hill Avenue,5298201,2,2,1,2010,BL,69.2274932838,227.123867545226
2001,Blue Hill Avenue,4988200,2,2,1,2010,BL,98.1940953281,322.158461079264
2002,Walk Hill Street,5584000,5,2,0,2014,SLM,17.6207655765,57.8107950890866
2003,Norfolk Street,5145900,5,2,0,2017,BL,71.6946309055,235.218134884579
2004,Walk Hill Street,4964100,5,2,0,2014,SLM,241.236939263,791.458191554788
2005,Walnut Avenue,4728400,6,2,0,2011,SLM,44.8755998849,147.229363967229
2006,Walnut Avenue,4725800,6,2,0,2011,SLM,69.9831068607,229.602909738589
2007,Seaver Street,6228800,3,2,1,2016,SUP,474.345599287,1556.2488536883
2008,Commonwealth Avenue,5446200,3,2,1,2010,SLM,172.730479463,566.69991473315
2009,Commonwealth Avenue,5230900,3,2,1,2010,BFBL,320.277708639,1050.77778239833
2010,Commonwealth Avenue,5451000,3,2,1,2010,BL,150.91865645,495.138958652821
2011,Forsyth Way,6255900,5,2,1,2011,BL,54.8406557807,179.923051496731
2012,Huntington Avenue,6261700,3,2,1,2012,SLM,214.468226665,703.634507011639
2013,Hemenway Street,5589700,5,2,1,2011,BL,59.9449470854,196.669380552845
2014,Truman Highway,6286800,5,3,0,2018,BFBL,0,308.079930930184
2015,Arborway,6241200,0,3,1, ,BL,0,981.726423767994
2016,Franklin Park Service Road,5365200,0,2,0, ,SUP,0,829.581389902934
2017,Brookline Avenue,4575700,2,2,0,2019,BLSL,0,330.967934297923
2018,Fenway Connector To Park Drive,6254200,3,3,1,2019,BL,0,267.656832843415
2019,Fenway,5273300,3,3,0,2019,BLSL,0,283.211842547453
2020,Brookline Avenue,5354400,3,2,0,2019,BLSL,0,173.288011806035
2021, ,6073500,0,2,0, ,SUP,0,3423.29127101939
2022,Walnut Entrance,5312900,0,2,0, ,SUP,0,162.442429449848
2023,Washington Street,5162500,3,2,0,2016,SLM,0,60.5148550971476
2024,Washington Street,4672000,3,2,0,2016,SLM,0,166.647830773933
2025,Norfolk Street,4957700,5,2,0,2017,BL,63.1677738965,207.242938188691
2026,Norfolk Street,4946700,5,2,0,2017,BL,41.8485901839,137.298249624538
2027,Norfolk Street,5592300,5,2,0,2017,BL,11.0692779831,36.3164562089344
2028,Talbot Avenue,4840600,5,2,0,2010,SLM,45.6518365632,149.776067102239
2029,Talbot Avenue,4843000,5,2,0,2010,SLM,74.1750808832,243.356077885903
2030,Talbot Avenue,4847400,5,2,0,2010,SLM,116.11651557,380.958934796073
2031,Blue Hill Avenue,4788500,3,2,1,2012,SLM,62.5228092837,205.126916787823
2032,Blue Hill Avenue,5138800,3,2,1,2012,SLM,104.91939827,344.223059140917
2033,Blue Hill Avenue,5138900,3,2,1,2012,SLM,99.5824766286,326.713508759425
2034,Jewish War Veterans Drive,4766000,5,2,1,2009,BL,117.907114089,386.833590169155
2035,Walnut Avenue,4670300,6,2,0,2011,SLM,77.4923214609,254.23939133889
2036,Walnut Avenue,5604400,6,2,0,2011,SLM,18.5091799719,60.7255346383074
2037,Ruggles Street,4573900,5,2,0,2010,SLM,39.1691550538,128.507469538908
2038,Ruggles Street,5470100,5,2,0,2010,SLM,48.4254756473,158.875914668514
2039,Commonwealth Avenue,6270100,3,2,1,2010,BL,7.4319666195,24.3831353932079
