,Name,Address,Latitude,Longitude
138,boston cheese cellar llc,18 Birch St,42.286804,-71.129959
139,boston & maine fish co,1 Faneuil Hall Market Pl,42.355492,-71.048611
140,blessing of god,1076 Hyde Park Ave,42.262457,-71.121471
141,berezka international food store,1215 Commonwealth Ave,42.3508,-71.130771
142,barrel head bait,370 E Eagle St,42.38181,-71.0266
143,bait to plate fish market,1504 Dorchester Ave,42.299377,-71.060221
144,back bay market,145 Dartmouth St,42.347926,-71.075601
145,baby nat's fruitland,606 American Legion Hwy,42.285757,-71.109561
146,b c gourmet usa inc,156 State St,42.359432,-71.053965
147,au chocolat,35 High St,42.37636,-71.06256
148,atlantic coast seafood inc,42 Fish Pier St W,42.355492,-71.048611
149,american provisions,1971 Dorchester Ave,42.283437,-71.065163
150,american cheese society,808 Commonwealth Ave,42.355492,-71.048611
151,alba produce,18 Parmenter St,42.355492,-71.048611
152,a c farm market,1429 Dorchester Ave,42.302339,-71.059788
153,1a carniceria y legumbreria,9 Meridian St,42.37049,-71.03878
